query,"word1, word2, word3, word4, word5"
0,"coronavirus, disease, novel, covid, 19"
1,"coronavirus, disease, novel, covid, 19"
2,"coronavirus, disease, novel, xxx, immunity"
3,"coronavirus, disease, novel, die, sind"
4,"covid, 19, coronavirus, disease, 2019"
5,"coronavirus, disease, novel, rapid, background"
6,"coronavirus, disease, novel, covid, 19"
7,"coronavirus, disease, novel, covid, 19"
8,"coronavirus, disease, novel, covid, 19"
9,"coronavirus, disease, novel, covid, 19"
10,"coronavirus, disease, novel, covid, 19"
11,"coronavirus, disease, novel, covid, 19"
12,"coronavirus, disease, novel, covid, 19"
13,"coronavirus, disease, novel, covid, 19"
14,"coronavirus, disease, novel, covid, 19"
15,"coronavirus, disease, novel, covid, 19"
16,"coronavirus, disease, novel, covid, 19"
17,"coronavirus, disease, novel, covid, 19"
18,"coronavirus, disease, novel, covid, 19"
19,"coronavirus, disease, novel, covid, 19"
20,"coronavirus, disease, novel, covid, 19"
21,"coronavirus, disease, novel, covid, 19"
22,"coronavirus, disease, novel, covid, 19"
23,"coronavirus, disease, novel, covid, 19"
24,"coronavirus, disease, novel, covid, 19"
25,"coronavirus, disease, novel, covid, 19"
26,"coronavirus, disease, novel, covid, 19"
27,"coronavirus, disease, novel, covid, 19"
28,"coronavirus, disease, novel, 19, covid"
29,"coronavirus, disease, novel, covid, 19"
30,"coronavirus, disease, novel, covid, 19"
31,"coronavirus, disease, novel, covid, 19"
32,"coronavirus, disease, novel, covid, 19"
33,"coronavirus, disease, novel, covid, 19"
34,"coronavirus, disease, novel, covid, 19"
